"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"rho[4,6]",0.725761,1.0446,1.41832,1.061257533225,0.195640688502052,NA,0.00105725767502712,0.5,34242,0.00817186042262392,1.00321962205951
"rho[5,6]",0.770048,1.040715,1.32724,1.052535126325,0.15091992659401,NA,0.000794701806869707,0.5,36065,0.00368217360565519,1.00121055357434
"rho[1,7]",0.797358,1.02031,1.23488,1.0228490551,0.107701572370962,NA,0.000551127387124323,0.5,38189,-0.00655862132260158,1.0036869629056
"rho[2,7]",0.7539,1.00921,1.22061,1.00395364115,0.112835031420951,NA,0.000566941812071602,0.5,39611,0.00798433728234695,1.00190191514467
"rho[3,7]",0.750341,1.04441,1.36767,1.058213483925,0.165327697805495,NA,0.000845624940689216,0.5,38224,0.00435217108036974,1.00159950181553
"rho[4,7]",0.726915,1.04784,1.40851,1.06794512675,0.196941024052802,NA,0.00129975830463586,0.7,22959,0.0238090823932227,1.00522109822051
"rho[5,7]",0.756429,1.030405,1.31124,1.03520693305,0.142173046540808,NA,0.000769674948863584,0.5,34121,0.00949264988345436,1.00529294136439
"rho[1,8]",0.782817,1.01002,1.21611,1.007672362475,0.106345875860566,NA,0.000542593000300222,0.5,38414,0.00715650695629658,1.00366414572554
"rho[2,8]",0.77471,1.016615,1.2397,1.018873981175,0.115205001996233,NA,0.000619207164592627,0.5,34616,0.0109603448209183,1.00184439891396
"rho[3,8]",0.749892,1.053095,1.42268,1.078072389475,0.189345097771026,NA,0.00139601741479885,0.7,18396,0.01633905906577,1.00134954383377
"rho[4,8]",0.724179,1.05056,1.44472,1.077818751125,0.224938423369157,NA,0.00155790083397675,0.7,20847,0.0325969943226197,1.00296179949511
"rho[5,8]",0.767586,1.03138,1.31373,1.040307345525,0.146347846291759,NA,0.000771744133437408,0.5,35961,0.00536463615400245,1.00205395755918
"rho[1,9]",0.805495,1.01815,1.24957,1.0232284605,0.111927563233108,NA,0.000596464403282049,0.5,35213,0.0119270261884791,1.00229713597804
"rho[2,9]",0.833517,1.01926,1.21926,1.022574971825,0.0969924146276806,NA,0.000529947209056604,0.5,33497,0.0145977955876175,1.00361140997913
"rho[3,9]",0.689409,1.027925,1.3766,1.039205106375,0.177557653822087,NA,0.0010807712417521,0.6,26991,0.0162097063032619,1.00279876895146
