,mean,sd,2.50%,50%,97.50%,Rhat,n.eff
"phiJS[2,58]",0.906721553,0.064952995,0.7421199,0.9197775,0.989489,1,12339
"phiJS[3,58]",0.872252114,0.092877964,0.630332525,0.8922505,0.986746075,1,16663
"phiJS[4,58]",0.896499553,0.081415944,0.679637975,0.9159655,0.98983,1,12154
"phiJS[5,58]",0.87499164,0.101911197,0.591526925,0.902448,0.987850025,1,25187
"phiJS[1,59]",0.881229986,0.089944539,0.64184095,0.9023235,0.987754,1,32385
"phiJS[2,59]",0.895933088,0.073586735,0.7071928,0.911058,0.988318,1,27762
"phiJS[3,59]",0.839003822,0.122224947,0.509228075,0.869785,0.983945,1,30717
"phiJS[4,59]",0.893040079,0.085329901,0.664576975,0.913814,0.989786025,1,18394
"phiJS[5,59]",0.889780324,0.087051093,0.653831825,0.911183,0.989136,1,40906
"phiJS[1,60]",0.908787817,0.067418432,0.73181575,0.9232175,0.989914025,1,52595
"phiJS[2,60]",0.904459543,0.069556273,0.72129385,0.919115,0.989053,1,68953
"phiJS[3,60]",0.832310104,0.137980652,0.44265285,0.873329,0.98314,1,24780
"phiJS[4,60]",0.908728821,0.073616908,0.711037875,0.926581,0.990826,1,22922
"phiJS[5,60]",0.910695345,0.070733643,0.720097925,0.9270655,0.990774025,1,69967
"phiJS[1,61]",0.909859139,0.067046134,0.733788975,0.924307,0.990187,1,56436
"phiJS[2,61]",0.902268539,0.072133455,0.710396875,0.918101,0.98858,1,67966
"phiJS[3,61]",0.859041438,0.113345553,0.544326525,0.888769,0.98550805,1,51176
"phiJS[4,61]",0.911719777,0.070902164,0.722668675,0.928952,0.991136,1,21359
"phiJS[5,61]",0.90807521,0.074917201,0.70336765,0.926269,0.99044,1,75802
"phiJS[1,62]",0.910874698,0.065934052,0.737844,0.925032,0.990087,1,53641
"phiJS[2,62]",0.911755195,0.063145792,0.74772095,0.92458,0.989759,1,58624
"phiJS[3,62]",0.845499879,0.126779679,0.4890758,0.881599,0.984395,1,35563
"phiJS[4,62]",0.913229755,0.069355063,0.729430925,0.929792,0.991249,1,21474
