Campanha	Parcela	Armadilha	Ponto_filtro	Ponto	MSFA_s	MSFB_s	MSFC_s	Massa	ChAb	ChAb	ChAb	Chao	CeFch	CeFch	CeFch	Ceu	CntCau	CntCau	CntCau	Caules	BurCh	Cupim	Distancia	Circunferencia	Tronco
49	C	49	4	C4	128.3	280.7	119.9	176.3	2	5	3	3.333333333	0	3	18	7	9	18	27	18	1	1	5.43	57	9
49	C	50	0	C0	145.4	134.8	77.8	119.3333333	0	1	15	5.333333333	16	17	0	11	16	13	26	18.33333333	1	1	0.71	43	4
50	BT	1	0	BT0	1.2	9.6	0.8	3.866666667	4	0	5	3	0	0	0	0	2	18	5	8.333333333	0	1	8.72	23	0
50	BT	2	1	BT1	26.2	14.2	23.8	21.4	1	8	3	4	1	0	0	0.333333333	32	20	8	20	0	2	6.5	30	0
50	BT	3	1	BT1	42.5	17.1	4.3	21.3	1	4	6	3.666666667	0	0	0	0	7	21	9	12.33333333	0	1	6.4	30	2
50	BT	4	2	BT2	19.3	32.5	24.1	25.3	1	14	0	5	3	0	0	1	16	6	16	12.66666667	1	0	5.87	31	2
50	BT	5	2	BT2	18.6	32.1	17.3	22.66666667	5	2	10	5.666666667	0	0	0	0	25	26	10	20.33333333	0	0	4.5	20	3
50	BT	6	3	BT3	9.5	13.3	9.6	10.8	2	0	0	0.666666667	0	0	0	0	29	19	11	19.66666667	0	0	5	30	3
50	BT	7	3	BT3	18.7	29.8	30.2	26.23333333	4	3	2	3	0	6	0	2	6	12	26	14.66666667	1	0	2.8	29	0
50	BT	8	4	BT4	7.9	21.2	14.6	14.56666667	10	1	2	4.333333333	0	0	0	0	13	26	19	19.33333333	0	1	3	22	2
50	BT	9	4	BT4	8.5	9.3	19.9	12.56666667	5	2	0	2.333333333	0	0	0	0	12	18	14	14.66666667	0	3	8.7	30	2
50	BT	10	0	BT0	45.4	32.4	32	36.6	8	1	0	3	0	0	0	0	14	8	19	13.66666667	0	0	14.1	27	3
50	Q	11	0	Q0	30.5	23.9	122.8	59.06666667	5	3	17	8.333333333	0	7	0	2.333333333	15	11	12	12.66666667	0	0	1	38	4
50	Q	12	1	Q1	44.9	43.4	19.8	36.03333333	13	20	4	12.33333333	0	0	0	0	19	13	11	14.33333333	0	1	4.3	28	2
50	Q	13	1	Q1	47	34.6	31.5	37.7	18	8	10	12	0	0	0	0	8	23	14	15	0	1	4.63	59	0
50	Q	14	2	Q2	4.7	25	7.8	12.5	0	8	13	7	0	0	0	0	11	17	21	16.33333333	0	1	2.75	45	1
50	Q	15	2	Q2	21.7	44.3	52.1	39.36666667	6	3	2	3.666666667	1	0	3	1.333333333	14	13	19	15.33333333	0	0	1.8	35	2
50	Q	16	3	Q3	32.1	28.9	31.7	30.9	4	8	9	7	0	0	0	0	9	17	14	13.33333333	0	0	1.95	31	1
50	Q	17	3	Q3	141	58.4	39	79.46666667	0	11	0	3.666666667	20	2	17	13	24	9	19	17.33333333	0	1	2.65	52	2
50	Q	18	4	Q4	27.7	29.5	33.8	30.33333333	15	0	0	5	0	0	0	0	46	25	22	31	0	0	3.1	34	0
50	Q	19	4	Q4	82.5	20.6	31.4	44.83333333	4	0	5	3	0	0	0	0	5	17	20	14	0	1	5.3	43	1
50	Q	20	0	Q0	44.1	60.8	16.8	40.56666667	0	5	0	1.666666667	6	7	0	4.333333333	14	23	24	20.33333333	0	1	1.58	20	2
50	BP	21	0	BP0	49	81.3	148.8	93.03333333	0	13	14	9	5	0	2	2.333333333	23	23	20	22	2	1	2.5	26	1
50	BP	22	1	BP1	94.4	69.6	160	108	2	0	6	2.666666667	23	1	5	9.666666667	32	16	20	22.66666667	0	2	1.98	21.5	4
50	BP	23	1	BP1	32.3	30.5	36.3	33.03333333	3	3	18	8	5	0	0	1.666666667	16	12	3	10.33333333	2	2	1.17	24	2
50	BP	24	2	BP2	47.6	62.2	45.3	51.7	18	12	6	12	0	0	0	0	14	32	18	21.33333333	0	0	5.27	37	0
50	BP	25	2	BP2	118.8	131.6	27.4	92.6	20	1	23	14.66666667	1	11	4	5.333333333	26	10	7	14.33333333	0	1	2.8	21	2
50	BP	26	3	BP3	142.6	82	7.4	77.33333333	1	0	14	5	0	0	0	0	21	9	21	17	0	0	2.94	22.5	3
50	BP	27	3	BP3	48.8	15.9	25.9	30.2	25	5	4	11.33333333	0	1	0	0.333333333	10	23	32	21.66666667	0	0	3.48	25	1
50	BP	28	4	BP4	47.4	60.5	77.4	61.76666667	22	12	6	13.33333333	0	5	16	7	8	6	6	6.666666667	0	2	3.5	36	0
50	BP	29	4	BP4	33.8	153.5	276	154.4333333	24	0	5	9.666666667	7	0	4	3.666666667	16	24	5	15	1	2	2.9	50.5	0
50	BP	30	0	BP0	90.3	81.6	52.5	74.8	9	4	18	10.33333333	1	6	0	2.333333333	19	22	10	17	1	1	0.65	41	6
50	BM	31	0	BM0	24.6	4.4	19.6	16.2	7	7	22	12	1	0	0	0.333333333	24	21	26	23.66666667	0	2	3.2	40	3
50	BM	32	1	BM1	10.4	9.4	37.4	19.06666667	13	13	7	11	0	0	0	0	11	45	30	28.66666667	2	1	5.2	37	1
50	BM	33	1	BM1	17.6	32.1	28.5	26.06666667	12	21	12	15	0	0	0	0	29	16	28	24.33333333	1	2	5.8	36	4
50	BM	34	2	BM2	33.6	43.4	23.8	33.6	14	15	16	15	0	1	0	0.333333333	21	27	20	22.66666667	1	3	3.4	30	3
